Hero	Cast	Region	They Just... Don't... Die!	Where'd They Go?	Summoners on the Rift	It's a Trap!	I'm Helping	We Protec	We're good over here	Get over here	Nowhere to hide	Hold that pose	It has "ULTIMATE" in the name!
Aatrox	Fighter, Tank	0	0	0	0	0	0	0	0	0	0	1	0
Ahri	Assasin, Mage	Ionia	0	0	0	0	0	0	0	0	0	0	0
Akali	Assasin	Ionia	0	1	0	0	0	0	0	0	0	0	0
Akshan	Assasin, Marksman	Shurima	1	1	0	0	0	0	1	0	1	0	0
Alistar	Support, Tank	0	1	0	0	0	0	1	0	1	0	1	0
Amumu	Mage, Tank	Shurima	0	0	0	0	0	0	0	0	0	1	1
Anivia	Mage, Support	Frejlord	1	0	0	0	1	0	0	0	0	1	1
Annie	Mage	0	0	0	1	0	0	1	0	0	0	0	1
Aphelios	Marksman	Targon	0	0	0	0	0	0	0	0	0	0	0
Ashe	Marksman, Support	Frejlord	0	0	0	0	0	0	1	0	1	0	0
Aurelion Sol	Mage	Targon	0	0	0	0	0	0	0	0	1	0	1
Azir	Mage, Marksman	Shurima	0	0	1	0	1	0	1	1	0	0	1
Bard	Mage, Support	0	1	0	0	0	0	1	0	0	1	1	1
Bel'Veth	Fighter	Void	1	0	1	0	0	0	0	0	0	0	1
Blitzcrank	Fighter, Tank	Zaun	0	0	0	0	0	0	0	1	0	1	1
Brand	Mage	0	0	0	0	0	0	0	0	0	0	0	0
Braum	Support, Tank	Frejlord	1	0	0	0	0	0	0	0	0	1	1
Briar	Assasin, Fighter	Noxus	0	0	0	0	0	1	0	0	1	1	1
Caitlyn	Marksman	Piltover	0	0	0	1	0	0	1	0	1	0	0
Camille	Fighter, Tank	Piltover	0	0	0	0	0	0	0	0	0	1	0
Cassiopeia	Mage	Noxus	0	0	0	0	0	0	0	0	0	0	1
Cho'Gath	Mage, Tank	Void	0	0	0	0	0	0	1	0	0	0	0
Corki	Marksman	Piltover, Bandle City	0	0	0	0	0	0	1	0	0	0	1
Darius	Fighter, Tank	Noxus	0	0	0	0	0	0	0	1	0	0	0
Diana	Fighter, Mage	Targon	0	0	0	0	0	0	0	0	0	0	1
Dr. Mundo	Fighter, Tank	Zaun	0	0	0	0	0	0	1	0	0	0	0
Draven	Marksman	Noxus	0	0	0	0	0	0	0	0	1	0	1
Ekko	Assasin, Fighter	Zaun	1	0	0	0	0	0	0	0	0	0	1
Elise	Fighter, Mage	Shadow Isles	1	0	1	0	0	0	0	0	0	0	0
Evelynn	Assasin, Mage	Shadow Isles	1	1	0	0	0	0	0	0	0	0	1
Ezreal	Mage, Marksman	Piltover	0	0	0	0	0	0	1	0	1	0	1
Fiddlesticks	Mage, Support	Shadow Isles	0	0	1	0	0	0	0	0	0	0	1
Fiora	Assasin, Fighter	Demacia	1	0	0	0	0	1	0	0	0	0	0
Fizz	Assasin, Fighter	Bilgewater, Bandle City	1	0	0	0	0	0	0	0	0	0	1
Galio	Mage, Tank	Demacia	0	0	0	0	0	1	0	0	1	1	1
Gangplank	Fighter	Bilgewater	0	0	0	1	0	0	1	0	1	0	1
Garen	Fighter, Tank	Demacia	0	0	0	0	0	0	0	0	0	0	0
Gnar	Fighter, Tank	Frejlord, Bandle City	0	0	0	0	0	0	0	1	0	1	1
